,庫房,料號,品名,數量,帳務日期,工作日,週,年,工作天數,休假天數,日期,計價
0,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-01-25,True,4,2022,5.0,2.0,202201.0,T-不計價
1,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-02-11,True,6,2022,5.0,2.0,202202.0,T-不計價
2,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-02-13,False,6,2022,5.0,2.0,202202.0,T-不計價
3,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-02-18,True,7,2022,5.0,2.0,202202.0,T-不計價
4,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-02-21,True,8,2022,5.0,2.0,202202.0,T-不計價
5,DLI1,T01910532,丟棄式人工甦醒球,2.0,2022-02-25,True,8,2022,5.0,2.0,202202.0,T-不計價
6,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-03-08,True,10,2022,5.0,2.0,202203.0,T-不計價
7,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-04-03,False,13,2022,5.0,2.0,202204.0,T-不計價
8,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-04-14,True,15,2022,5.0,2.0,202204.0,T-不計價
9,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-04-26,True,17,2022,5.0,2.0,202204.0,T-不計價
10,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-05-05,True,18,2022,5.0,2.0,202205.0,T-不計價
11,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-05-06,True,18,2022,5.0,2.0,202205.0,T-不計價
12,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-05-07,True,18,2022,5.0,2.0,202205.0,T-不計價
13,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-05-11,True,19,2022,5.0,2.0,202205.0,T-不計價
14,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-05-28,False,21,2022,5.0,2.0,202205.0,T-不計價
15,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-06-12,False,23,2022,5.0,2.0,202206.0,T-不計價
16,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-06-16,True,24,2022,5.0,2.0,202206.0,T-不計價
17,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-07-06,True,27,2022,5.0,2.0,202207.0,T-不計價
18,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-07-07,True,27,2022,5.0,2.0,202207.0,T-不計價
19,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-07-14,True,28,2022,5.0,2.0,202207.0,T-不計價
20,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-07-23,False,29,2022,5.0,2.0,202207.0,T-不計價
21,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-07-31,False,30,2022,5.0,2.0,202207.0,T-不計價
22,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-08-17,True,33,2022,5.0,2.0,202208.0,T-不計價
23,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-09-01,True,35,2022,5.0,2.0,202209.0,T-不計價
24,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-09-03,False,35,2022,5.0,2.0,202209.0,T-不計價
25,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-09-10,False,36,2022,4.0,3.0,202209.0,T-不計價
26,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-09-21,True,38,2022,5.0,2.0,202209.0,T-不計價
27,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-10-28,True,43,2022,5.0,2.0,202210.0,T-不計價
28,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-11-20,False,46,2022,5.0,2.0,202211.0,T-不計價
29,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-11-24,True,47,2022,5.0,2.0,202211.0,T-不計價
30,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-11-29,True,48,2022,5.0,2.0,202211.0,T-不計價
31,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-12-03,False,48,2022,5.0,2.0,202212.0,T-不計價
32,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-12-06,True,49,2022,5.0,2.0,202212.0,T-不計價
33,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-12-08,True,49,2022,5.0,2.0,202212.0,T-不計價
34,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-12-12,True,50,2022,5.0,2.0,202212.0,T-不計價
35,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-12-15,True,50,2022,5.0,2.0,202212.0,T-不計價
36,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-12-22,True,51,2022,5.0,2.0,202212.0,T-不計價
37,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-12-26,True,52,2022,5.0,3.0,202212.0,T-不計價
38,DLI1,T01910532,丟棄式人工甦醒球,1.0,2022-12-28,True,52,2022,5.0,3.0,202212.0,T-不計價
