,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,1,True,2022-01-07,,
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,2,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,3,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,4,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,5,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,6,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,7,True,2022-01-07,202201.0,T-不計價
20743,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,8,True,2022-02-23,,
20744,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,9,True,2022-03-02,,
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,10,True,2022-01-07,202201.0,T-不計價
20745,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,11,True,2022-03-18,,
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,12,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,13,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,14,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,15,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,16,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,17,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,18,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,19,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,20,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,21,True,2022-01-07,202201.0,T-不計價
20747,DLN8,D00320301,3-0 尼龍線  Nylon,2.0,22,False,2022-06-03,,
20749,DLN8,D00320301,3-0 尼龍線  Nylon,2.0,23,True,2022-06-10,,
20751,DLN8,D00320301,3-0 尼龍線  Nylon,3.0,24,True,2022-06-16,,
20754,DLN8,D00320301,3-0 尼龍線  Nylon,3.0,25,False,2022-06-25,,
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,26,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,27,True,2022-01-07,202201.0,T-不計價
20755,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,28,True,2022-07-11,,
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,29,True,2022-01-07,202201.0,T-不計價
20756,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,30,True,2022-07-26,,
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,31,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,32,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,33,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,34,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,35,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,36,True,2022-01-07,202201.0,T-不計價
20757,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,37,False,2022-09-17,,
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,38,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,39,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,40,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,41,True,2022-01-07,202201.0,T-不計價
20758,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,42,True,2022-10-19,,
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,43,True,2022-01-07,202201.0,T-不計價
20760,DLN8,D00320301,3-0 尼龍線  Nylon,2.0,44,True,2022-11-04,,
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,45,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,46,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,47,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,48,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,49,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,50,True,2022-01-07,202201.0,T-不計價
20742,DLN8,D00320301,3-0 尼龍線  Nylon,0.0,51,True,2022-01-07,202201.0,T-不計價
20761,DLN8,D00320301,3-0 尼龍線  Nylon,1.0,52,True,2022-12-30,,
