日期,降水量(mm),週,年,下雨天數,沒下雨天數,總下雨量
2019/1/1,0.0,1,2019,1.0,5.0,0.5
2019/1/2,0.0,1,2019,1.0,5.0,0.5
2019/1/3,0.5,1,2019,1.0,5.0,0.5
2019/1/4,0.0,1,2019,1.0,5.0,0.5
2019/1/5,0.0,1,2019,1.0,5.0,0.5
2019/1/6,0.0,1,2019,1.0,5.0,0.5
2019/1/7,0.0,2,2019,0.0,7.0,0.0
2019/1/8,0.0,2,2019,0.0,7.0,0.0
2019/1/9,0.0,2,2019,0.0,7.0,0.0
2019/1/10,0.0,2,2019,0.0,7.0,0.0
2019/1/11,0.0,2,2019,0.0,7.0,0.0
2019/1/12,0.0,2,2019,0.0,7.0,0.0
2019/1/13,0.0,2,2019,0.0,7.0,0.0
2019/1/14,0.0,3,2019,2.0,5.0,5.0
2019/1/15,0.0,3,2019,2.0,5.0,5.0
2019/1/16,3.5,3,2019,2.0,5.0,5.0
2019/1/17,1.5,3,2019,2.0,5.0,5.0
2019/1/18,0.0,3,2019,2.0,5.0,5.0
2019/1/19,0.0,3,2019,2.0,5.0,5.0
2019/1/20,0.0,3,2019,2.0,5.0,5.0
2019/1/21,0.5,4,2019,1.0,6.0,0.5
2019/1/22,0.0,4,2019,1.0,6.0,0.5
2019/1/23,0.0,4,2019,1.0,6.0,0.5
2019/1/24,0.0,4,2019,1.0,6.0,0.5
2019/1/25,0.0,4,2019,1.0,6.0,0.5
2019/1/26,0.0,4,2019,1.0,6.0,0.5
2019/1/27,0.0,4,2019,1.0,6.0,0.5
2019/1/28,0.0,5,2019,0.0,7.0,0.0
2019/1/29,0.0,5,2019,0.0,7.0,0.0
2019/1/30,0.0,5,2019,0.0,7.0,0.0
2019/1/31,0.0,5,2019,0.0,7.0,0.0
2019/2/1,0.0,5,2019,0.0,7.0,0.0
2019/2/2,0.0,5,2019,0.0,7.0,0.0
2019/2/3,0.0,5,2019,0.0,7.0,0.0
2019/2/4,0.0,6,2019,0.0,7.0,0.0
2019/2/5,0.0,6,2019,0.0,7.0,0.0
2019/2/6,0.0,6,2019,0.0,7.0,0.0
2019/2/7,0.0,6,2019,0.0,7.0,0.0
2019/2/8,0.0,6,2019,0.0,7.0,0.0
2019/2/9,0.0,6,2019,0.0,7.0,0.0
2019/2/10,0.0,6,2019,0.0,7.0,0.0
2019/2/11,0.0,7,2019,0.0,7.0,0.0
2019/2/12,0.0,7,2019,0.0,7.0,0.0
2019/2/13,0.0,7,2019,0.0,7.0,0.0
2019/2/14,0.0,7,2019,0.0,7.0,0.0
2019/2/15,0.0,7,2019,0.0,7.0,0.0
2019/2/16,0.0,7,2019,0.0,7.0,0.0
2019/2/17,0.0,7,2019,0.0,7.0,0.0
2019/2/18,0.0,8,2019,2.0,5.0,7.0
2019/2/19,1.5,8,2019,2.0,5.0,7.0
2019/2/20,0.0,8,2019,2.0,5.0,7.0
2019/2/21,0.0,8,2019,2.0,5.0,7.0
2019/2/22,0.0,8,2019,2.0,5.0,7.0
2019/2/23,0.0,8,2019,2.0,5.0,7.0
2019/2/24,5.5,8,2019,2.0,5.0,7.0
2019/2/25,0.0,9,2019,1.0,6.0,10.5
2019/2/26,0.0,9,2019,1.0,6.0,10.5
2019/2/27,0.0,9,2019,1.0,6.0,10.5
2019/2/28,0.0,9,2019,1.0,6.0,10.5
2019/3/1,0.0,9,2019,1.0,6.0,10.5
2019/3/2,0.0,9,2019,1.0,6.0,10.5
2019/3/3,10.5,9,2019,1.0,6.0,10.5
2019/3/4,0.0,10,2019,6.0,1.0,109.5
2019/3/5,5.0,10,2019,6.0,1.0,109.5
2019/3/6,5.5,10,2019,6.0,1.0,109.5
2019/3/7,42.0,10,2019,6.0,1.0,109.5
2019/3/8,19.5,10,2019,6.0,1.0,109.5
2019/3/9,10.5,10,2019,6.0,1.0,109.5
2019/3/10,27.0,10,2019,6.0,1.0,109.5
2019/3/11,0.0,11,2019,0.0,7.0,0.0
2019/3/12,0.0,11,2019,0.0,7.0,0.0
2019/3/13,0.0,11,2019,0.0,7.0,0.0
2019/3/14,0.0,11,2019,0.0,7.0,0.0
2019/3/15,0.0,11,2019,0.0,7.0,0.0
2019/3/16,0.0,11,2019,0.0,7.0,0.0
2019/3/17,0.0,11,2019,0.0,7.0,0.0
2019/3/18,0.0,12,2019,2.0,5.0,15.5
2019/3/19,0.0,12,2019,2.0,5.0,15.5
2019/3/20,0.0,12,2019,2.0,5.0,15.5
2019/3/21,0.0,12,2019,2.0,5.0,15.5
2019/3/22,0.0,12,2019,2.0,5.0,15.5
2019/3/23,2.0,12,2019,2.0,5.0,15.5
2019/3/24,13.5,12,2019,2.0,5.0,15.5
2019/3/25,0.0,13,2019,2.0,5.0,1.5
2019/3/26,0.0,13,2019,2.0,5.0,1.5
2019/3/27,0.0,13,2019,2.0,5.0,1.5
2019/3/28,0.0,13,2019,2.0,5.0,1.5
2019/3/29,0.5,13,2019,2.0,5.0,1.5
2019/3/30,1.0,13,2019,2.0,5.0,1.5
2019/3/31,0.0,13,2019,2.0,5.0,1.5
2019/4/1,0.5,14,2019,1.0,6.0,0.5
2019/4/2,0.0,14,2019,1.0,6.0,0.5
2019/4/3,0.0,14,2019,1.0,6.0,0.5
2019/4/4,0.0,14,2019,1.0,6.0,0.5
2019/4/5,0.0,14,2019,1.0,6.0,0.5
2019/4/6,0.0,14,2019,1.0,6.0,0.5
2019/4/7,0.0,14,2019,1.0,6.0,0.5
2019/4/8,0.0,15,2019,0.0,7.0,0.0
2019/4/9,0.0,15,2019,0.0,7.0,0.0
2019/4/10,0.0,15,2019,0.0,7.0,0.0
2019/4/11,0.0,15,2019,0.0,7.0,0.0
2019/4/12,0.0,15,2019,0.0,7.0,0.0
2019/4/13,0.0,15,2019,0.0,7.0,0.0
2019/4/14,0.0,15,2019,0.0,7.0,0.0
2019/4/15,3.0,16,2019,5.0,2.0,51.0
2019/4/16,2.5,16,2019,5.0,2.0,51.0
2019/4/17,0.0,16,2019,5.0,2.0,51.0
2019/4/18,0.0,16,2019,5.0,2.0,51.0
2019/4/19,42.5,16,2019,5.0,2.0,51.0
2019/4/20,1.0,16,2019,5.0,2.0,51.0
2019/4/21,2.0,16,2019,5.0,2.0,51.0
2019/4/22,0.0,17,2019,1.0,6.0,1.5
2019/4/23,0.0,17,2019,1.0,6.0,1.5
2019/4/24,0.0,17,2019,1.0,6.0,1.5
2019/4/25,0.0,17,2019,1.0,6.0,1.5
2019/4/26,1.5,17,2019,1.0,6.0,1.5
2019/4/27,0.0,17,2019,1.0,6.0,1.5
2019/4/28,0.0,17,2019,1.0,6.0,1.5
2019/4/29,0.0,18,2019,4.0,3.0,81.0
2019/4/30,0.0,18,2019,4.0,3.0,81.0
2019/5/1,64.5,18,2019,4.0,3.0,81.0
2019/5/2,4.0,18,2019,4.0,3.0,81.0
2019/5/3,10.5,18,2019,4.0,3.0,81.0
2019/5/4,0.0,18,2019,4.0,3.0,81.0
2019/5/5,2.0,18,2019,4.0,3.0,81.0
2019/5/6,20.0,19,2019,5.0,2.0,36.5
2019/5/7,6.5,19,2019,5.0,2.0,36.5
2019/5/8,0.5,19,2019,5.0,2.0,36.5
2019/5/9,7.0,19,2019,5.0,2.0,36.5
2019/5/10,2.5,19,2019,5.0,2.0,36.5
2019/5/11,0.0,19,2019,5.0,2.0,36.5
2019/5/12,0.0,19,2019,5.0,2.0,36.5
2019/5/13,0.0,20,2019,5.0,2.0,31.0
2019/5/14,0.0,20,2019,5.0,2.0,31.0
2019/5/15,1.0,20,2019,5.0,2.0,31.0
2019/5/16,0.5,20,2019,5.0,2.0,31.0
2019/5/17,3.5,20,2019,5.0,2.0,31.0
2019/5/18,25.0,20,2019,5.0,2.0,31.0
2019/5/19,1.0,20,2019,5.0,2.0,31.0
2019/5/20,37.5,21,2019,3.0,4.0,41.0
2019/5/21,0.0,21,2019,3.0,4.0,41.0
2019/5/22,1.0,21,2019,3.0,4.0,41.0
2019/5/23,2.5,21,2019,3.0,4.0,41.0
2019/5/24,0.0,21,2019,3.0,4.0,41.0
2019/5/25,0.0,21,2019,3.0,4.0,41.0
2019/5/26,0.0,21,2019,3.0,4.0,41.0
2019/5/27,0.5,22,2019,4.0,3.0,17.0
2019/5/28,5.0,22,2019,4.0,3.0,17.0
2019/5/29,0.0,22,2019,4.0,3.0,17.0
2019/5/30,0.0,22,2019,4.0,3.0,17.0
2019/5/31,0.0,22,2019,4.0,3.0,17.0
2019/6/1,1.5,22,2019,4.0,3.0,17.0
2019/6/2,10.0,22,2019,4.0,3.0,17.0
2019/6/3,0.0,23,2019,2.0,5.0,37.5
2019/6/4,36.5,23,2019,2.0,5.0,37.5
2019/6/5,0.0,23,2019,2.0,5.0,37.5
2019/6/6,1.0,23,2019,2.0,5.0,37.5
2019/6/7,0.0,23,2019,2.0,5.0,37.5
2019/6/8,0.0,23,2019,2.0,5.0,37.5
2019/6/9,0.0,23,2019,2.0,5.0,37.5
2019/6/10,20.5,24,2019,6.0,1.0,277.0
2019/6/11,78.5,24,2019,6.0,1.0,277.0
2019/6/12,121.5,24,2019,6.0,1.0,277.0
2019/6/13,6.5,24,2019,6.0,1.0,277.0
2019/6/14,46.5,24,2019,6.0,1.0,277.0
2019/6/15,0.0,24,2019,6.0,1.0,277.0
2019/6/16,3.5,24,2019,6.0,1.0,277.0
2019/6/17,2.0,25,2019,3.0,4.0,25.5
2019/6/18,0.5,25,2019,3.0,4.0,25.5
2019/6/19,0.0,25,2019,3.0,4.0,25.5
2019/6/20,0.0,25,2019,3.0,4.0,25.5
2019/6/21,0.0,25,2019,3.0,4.0,25.5
2019/6/22,0.0,25,2019,3.0,4.0,25.5
2019/6/23,23.0,25,2019,3.0,4.0,25.5
2019/6/24,10.0,26,2019,4.0,3.0,62.0
2019/6/25,0.5,26,2019,4.0,3.0,62.0
2019/6/26,1.5,26,2019,4.0,3.0,62.0
2019/6/27,0.0,26,2019,4.0,3.0,62.0
2019/6/28,0.0,26,2019,4.0,3.0,62.0
2019/6/29,0.0,26,2019,4.0,3.0,62.0
2019/6/30,50.0,26,2019,4.0,3.0,62.0
2019/7/1,0.0,27,2019,6.0,1.0,23.5
2019/7/2,2.0,27,2019,6.0,1.0,23.5
2019/7/3,11.5,27,2019,6.0,1.0,23.5
2019/7/4,3.0,27,2019,6.0,1.0,23.5
2019/7/5,5.0,27,2019,6.0,1.0,23.5
2019/7/6,1.5,27,2019,6.0,1.0,23.5
2019/7/7,0.5,27,2019,6.0,1.0,23.5
2019/7/8,0.0,28,2019,4.0,3.0,34.0
2019/7/9,4.5,28,2019,4.0,3.0,34.0
2019/7/10,27.0,28,2019,4.0,3.0,34.0
2019/7/11,1.5,28,2019,4.0,3.0,34.0
2019/7/12,1.0,28,2019,4.0,3.0,34.0
2019/7/13,0.0,28,2019,4.0,3.0,34.0
2019/7/14,0.0,28,2019,4.0,3.0,34.0
2019/7/15,0.0,29,2019,3.0,4.0,54.5
2019/7/16,0.0,29,2019,3.0,4.0,54.5
2019/7/17,0.0,29,2019,3.0,4.0,54.5
2019/7/18,6.0,29,2019,3.0,4.0,54.5
2019/7/19,22.5,29,2019,3.0,4.0,54.5
2019/7/20,26.0,29,2019,3.0,4.0,54.5
2019/7/21,0.0,29,2019,3.0,4.0,54.5
2019/7/22,0.5,30,2019,4.0,3.0,25.0
2019/7/23,0.0,30,2019,4.0,3.0,25.0
2019/7/24,1.0,30,2019,4.0,3.0,25.0
2019/7/25,0.0,30,2019,4.0,3.0,25.0
2019/7/26,0.0,30,2019,4.0,3.0,25.0
2019/7/27,4.5,30,2019,4.0,3.0,25.0
2019/7/28,19.0,30,2019,4.0,3.0,25.0
2019/7/29,0.0,31,2019,4.0,3.0,53.0
2019/7/30,0.0,31,2019,4.0,3.0,53.0
2019/7/31,30.0,31,2019,4.0,3.0,53.0
2019/8/1,16.5,31,2019,4.0,3.0,53.0
2019/8/2,5.5,31,2019,4.0,3.0,53.0
2019/8/3,1.0,31,2019,4.0,3.0,53.0
2019/8/4,0.0,31,2019,4.0,3.0,53.0
2019/8/5,0.0,32,2019,4.0,3.0,23.5
2019/8/6,0.0,32,2019,4.0,3.0,23.5
2019/8/7,3.0,32,2019,4.0,3.0,23.5
2019/8/8,0.5,32,2019,4.0,3.0,23.5
2019/8/9,12.0,32,2019,4.0,3.0,23.5
2019/8/10,0.0,32,2019,4.0,3.0,23.5
2019/8/11,8.0,32,2019,4.0,3.0,23.5
2019/8/12,40.0,33,2019,6.0,1.0,563.0
2019/8/13,163.5,33,2019,6.0,1.0,563.0
2019/8/14,0.0,33,2019,6.0,1.0,563.0
2019/8/15,179.5,33,2019,6.0,1.0,563.0
2019/8/16,69.5,33,2019,6.0,1.0,563.0
2019/8/17,56.5,33,2019,6.0,1.0,563.0
2019/8/18,54.0,33,2019,6.0,1.0,563.0
2019/8/19,0.5,34,2019,4.0,3.0,17.0
2019/8/20,0.0,34,2019,4.0,3.0,17.0
2019/8/21,0.5,34,2019,4.0,3.0,17.0
2019/8/22,4.5,34,2019,4.0,3.0,17.0
2019/8/23,0.0,34,2019,4.0,3.0,17.0
2019/8/24,0.0,34,2019,4.0,3.0,17.0
2019/8/25,11.5,34,2019,4.0,3.0,17.0
2019/8/26,4.0,35,2019,5.0,2.0,61.0
2019/8/27,0.0,35,2019,5.0,2.0,61.0
2019/8/28,0.0,35,2019,5.0,2.0,61.0
2019/8/29,0.5,35,2019,5.0,2.0,61.0
2019/8/30,21.5,35,2019,5.0,2.0,61.0
2019/8/31,8.5,35,2019,5.0,2.0,61.0
2019/9/1,26.5,35,2019,5.0,2.0,61.0
2019/9/2,0.5,36,2019,6.0,1.0,176.5
2019/9/3,8.0,36,2019,6.0,1.0,176.5
2019/9/4,64.5,36,2019,6.0,1.0,176.5
2019/9/5,0.0,36,2019,6.0,1.0,176.5
2019/9/6,26.5,36,2019,6.0,1.0,176.5
2019/9/7,2.0,36,2019,6.0,1.0,176.5
2019/9/8,75.0,36,2019,6.0,1.0,176.5
2019/9/9,0.0,37,2019,0.0,7.0,0.0
2019/9/10,0.0,37,2019,0.0,7.0,0.0
2019/9/11,0.0,37,2019,0.0,7.0,0.0
2019/9/12,0.0,37,2019,0.0,7.0,0.0
2019/9/13,0.0,37,2019,0.0,7.0,0.0
2019/9/14,0.0,37,2019,0.0,7.0,0.0
2019/9/15,0.0,37,2019,0.0,7.0,0.0
2019/9/16,0.0,38,2019,0.0,7.0,0.0
2019/9/17,0.0,38,2019,0.0,7.0,0.0
2019/9/18,0.0,38,2019,0.0,7.0,0.0
2019/9/19,0.0,38,2019,0.0,7.0,0.0
2019/9/20,0.0,38,2019,0.0,7.0,0.0
2019/9/21,0.0,38,2019,0.0,7.0,0.0
2019/9/22,0.0,38,2019,0.0,7.0,0.0
2019/9/23,0.0,39,2019,0.0,7.0,0.0
2019/9/24,0.0,39,2019,0.0,7.0,0.0
2019/9/25,0.0,39,2019,0.0,7.0,0.0
2019/9/26,0.0,39,2019,0.0,7.0,0.0
2019/9/27,0.0,39,2019,0.0,7.0,0.0
2019/9/28,0.0,39,2019,0.0,7.0,0.0
2019/9/29,0.0,39,2019,0.0,7.0,0.0
2019/9/30,0.0,40,2019,1.0,6.0,8.0
2019/10/1,8.0,40,2019,1.0,6.0,8.0
2019/10/2,0.0,40,2019,1.0,6.0,8.0
2019/10/3,0.0,40,2019,1.0,6.0,8.0
2019/10/4,0.0,40,2019,1.0,6.0,8.0
2019/10/5,0.0,40,2019,1.0,6.0,8.0
2019/10/6,0.0,40,2019,1.0,6.0,8.0
2019/10/7,0.0,41,2019,0.0,7.0,0.0
2019/10/8,0.0,41,2019,0.0,7.0,0.0
2019/10/9,0.0,41,2019,0.0,7.0,0.0
2019/10/10,0.0,41,2019,0.0,7.0,0.0
2019/10/11,0.0,41,2019,0.0,7.0,0.0
2019/10/12,0.0,41,2019,0.0,7.0,0.0
2019/10/13,0.0,41,2019,0.0,7.0,0.0
2019/10/14,0.0,42,2019,0.0,7.0,0.0
2019/10/15,0.0,42,2019,0.0,7.0,0.0
2019/10/16,0.0,42,2019,0.0,7.0,0.0
2019/10/17,0.0,42,2019,0.0,7.0,0.0
2019/10/18,0.0,42,2019,0.0,7.0,0.0
2019/10/19,0.0,42,2019,0.0,7.0,0.0
2019/10/20,0.0,42,2019,0.0,7.0,0.0
2019/10/21,0.0,43,2019,0.0,7.0,0.0
2019/10/22,0.0,43,2019,0.0,7.0,0.0
2019/10/23,0.0,43,2019,0.0,7.0,0.0
2019/10/24,0.0,43,2019,0.0,7.0,0.0
2019/10/25,0.0,43,2019,0.0,7.0,0.0
2019/10/26,0.0,43,2019,0.0,7.0,0.0
2019/10/27,0.0,43,2019,0.0,7.0,0.0
2019/10/28,0.0,44,2019,0.0,7.0,0.0
2019/10/29,0.0,44,2019,0.0,7.0,0.0
2019/10/30,0.0,44,2019,0.0,7.0,0.0
2019/10/31,0.0,44,2019,0.0,7.0,0.0
2019/11/1,0.0,44,2019,0.0,7.0,0.0
2019/11/2,0.0,44,2019,0.0,7.0,0.0
2019/11/3,0.0,44,2019,0.0,7.0,0.0
2019/11/4,0.0,45,2019,0.0,7.0,0.0
2019/11/5,0.0,45,2019,0.0,7.0,0.0
2019/11/6,0.0,45,2019,0.0,7.0,0.0
2019/11/7,0.0,45,2019,0.0,7.0,0.0
2019/11/8,0.0,45,2019,0.0,7.0,0.0
2019/11/9,0.0,45,2019,0.0,7.0,0.0
2019/11/10,0.0,45,2019,0.0,7.0,0.0
2019/11/11,0.0,46,2019,0.0,7.0,0.0
2019/11/12,0.0,46,2019,0.0,7.0,0.0
2019/11/13,0.0,46,2019,0.0,7.0,0.0
2019/11/14,0.0,46,2019,0.0,7.0,0.0
2019/11/15,0.0,46,2019,0.0,7.0,0.0
2019/11/16,0.0,46,2019,0.0,7.0,0.0
2019/11/17,0.0,46,2019,0.0,7.0,0.0
2019/11/18,0.0,47,2019,0.0,7.0,0.0
2019/11/19,0.0,47,2019,0.0,7.0,0.0
2019/11/20,0.0,47,2019,0.0,7.0,0.0
2019/11/21,0.0,47,2019,0.0,7.0,0.0
2019/11/22,0.0,47,2019,0.0,7.0,0.0
2019/11/23,0.0,47,2019,0.0,7.0,0.0
2019/11/24,0.0,47,2019,0.0,7.0,0.0
2019/11/25,0.0,48,2019,0.0,7.0,0.0
2019/11/26,0.0,48,2019,0.0,7.0,0.0
2019/11/27,0.0,48,2019,0.0,7.0,0.0
2019/11/28,0.0,48,2019,0.0,7.0,0.0
2019/11/29,0.0,48,2019,0.0,7.0,0.0
2019/11/30,0.0,48,2019,0.0,7.0,0.0
2019/12/1,0.0,48,2019,0.0,7.0,0.0
2019/12/2,0.0,49,2019,3.0,4.0,37.0
2019/12/3,0.0,49,2019,3.0,4.0,37.0
2019/12/4,3.0,49,2019,3.0,4.0,37.0
2019/12/5,13.5,49,2019,3.0,4.0,37.0
2019/12/6,20.5,49,2019,3.0,4.0,37.0
2019/12/7,0.0,49,2019,3.0,4.0,37.0
2019/12/8,0.0,49,2019,3.0,4.0,37.0
2019/12/9,0.0,50,2019,0.0,7.0,0.0
2019/12/10,0.0,50,2019,0.0,7.0,0.0
2019/12/11,0.0,50,2019,0.0,7.0,0.0
2019/12/12,0.0,50,2019,0.0,7.0,0.0
2019/12/13,0.0,50,2019,0.0,7.0,0.0
2019/12/14,0.0,50,2019,0.0,7.0,0.0
2019/12/15,0.0,50,2019,0.0,7.0,0.0
2019/12/16,0.0,51,2019,1.0,6.0,1.0
2019/12/17,0.0,51,2019,1.0,6.0,1.0
2019/12/18,0.0,51,2019,1.0,6.0,1.0
2019/12/19,0.0,51,2019,1.0,6.0,1.0
2019/12/20,1.0,51,2019,1.0,6.0,1.0
2019/12/21,0.0,51,2019,1.0,6.0,1.0
2019/12/22,0.0,51,2019,1.0,6.0,1.0
2019/12/23,0.0,52,2019,1.0,6.0,75.0
2019/12/24,0.0,52,2019,1.0,6.0,75.0
2019/12/25,0.0,52,2019,1.0,6.0,75.0
2019/12/26,0.0,52,2019,1.0,6.0,75.0
2019/12/27,0.0,52,2019,1.0,6.0,75.0
2019/12/28,0.0,52,2019,1.0,6.0,75.0
2019/12/29,75.0,52,2019,1.0,6.0,75.0
2020/1/1,0.0,1,2020,0.0,5.0,0.0
2020/1/2,0.0,1,2020,0.0,5.0,0.0
2020/1/3,0.0,1,2020,0.0,5.0,0.0
2020/1/4,0.0,1,2020,0.0,5.0,0.0
2020/1/5,0.0,1,2020,0.0,5.0,0.0
2020/1/6,0.0,2,2020,0.0,7.0,0.0
2020/1/7,0.0,2,2020,0.0,7.0,0.0
2020/1/8,0.0,2,2020,0.0,7.0,0.0
2020/1/9,0.0,2,2020,0.0,7.0,0.0
2020/1/10,0.0,2,2020,0.0,7.0,0.0
2020/1/11,0.0,2,2020,0.0,7.0,0.0
2020/1/12,0.0,2,2020,0.0,7.0,0.0
2020/1/13,0.0,3,2020,0.0,7.0,0.0
2020/1/14,0.0,3,2020,0.0,7.0,0.0
2020/1/15,0.0,3,2020,0.0,7.0,0.0
2020/1/16,0.0,3,2020,0.0,7.0,0.0
2020/1/17,0.0,3,2020,0.0,7.0,0.0
2020/1/18,0.0,3,2020,0.0,7.0,0.0
2020/1/19,0.0,3,2020,0.0,7.0,0.0
2020/1/20,0.0,4,2020,1.0,6.0,17.0
2020/1/21,0.0,4,2020,1.0,6.0,17.0
2020/1/22,0.0,4,2020,1.0,6.0,17.0
2020/1/23,0.0,4,2020,1.0,6.0,17.0
2020/1/24,0.0,4,2020,1.0,6.0,17.0
2020/1/25,0.0,4,2020,1.0,6.0,17.0
2020/1/26,17.0,4,2020,1.0,6.0,17.0
2020/1/27,0.0,5,2020,1.0,6.0,0.5
2020/1/28,0.5,5,2020,1.0,6.0,0.5
2020/1/29,0.0,5,2020,1.0,6.0,0.5
2020/1/30,0.0,5,2020,1.0,6.0,0.5
2020/1/31,0.0,5,2020,1.0,6.0,0.5
2020/2/1,0.0,5,2020,1.0,6.0,0.5
2020/2/2,0.0,5,2020,1.0,6.0,0.5
2020/2/3,0.0,6,2020,0.0,7.0,0.0
2020/2/4,0.0,6,2020,0.0,7.0,0.0
2020/2/5,0.0,6,2020,0.0,7.0,0.0
2020/2/6,0.0,6,2020,0.0,7.0,0.0
2020/2/7,0.0,6,2020,0.0,7.0,0.0
2020/2/8,0.0,6,2020,0.0,7.0,0.0
2020/2/9,0.0,6,2020,0.0,7.0,0.0
2020/2/10,0.0,7,2020,0.0,7.0,0.0
2020/2/11,0.0,7,2020,0.0,7.0,0.0
2020/2/12,0.0,7,2020,0.0,7.0,0.0
2020/2/13,0.0,7,2020,0.0,7.0,0.0
2020/2/14,0.0,7,2020,0.0,7.0,0.0
2020/2/15,0.0,7,2020,0.0,7.0,0.0
2020/2/16,0.0,7,2020,0.0,7.0,0.0
2020/2/17,0.0,8,2020,0.0,7.0,0.0
2020/2/18,0.0,8,2020,0.0,7.0,0.0
2020/2/19,0.0,8,2020,0.0,7.0,0.0
2020/2/20,0.0,8,2020,0.0,7.0,0.0
2020/2/21,0.0,8,2020,0.0,7.0,0.0
2020/2/22,0.0,8,2020,0.0,7.0,0.0
2020/2/23,0.0,8,2020,0.0,7.0,0.0
2020/2/24,0.0,9,2020,0.0,7.0,0.0
2020/2/25,0.0,9,2020,0.0,7.0,0.0
2020/2/26,0.0,9,2020,0.0,7.0,0.0
2020/2/27,0.0,9,2020,0.0,7.0,0.0
2020/2/28,0.0,9,2020,0.0,7.0,0.0
2020/2/29,0.0,9,2020,0.0,7.0,0.0
2020/3/1,0.0,9,2020,0.0,7.0,0.0
2020/3/2,0.0,10,2020,1.0,6.0,4.5
2020/3/3,0.0,10,2020,1.0,6.0,4.5
2020/3/4,0.0,10,2020,1.0,6.0,4.5
2020/3/5,4.5,10,2020,1.0,6.0,4.5
2020/3/6,0.0,10,2020,1.0,6.0,4.5
2020/3/7,0.0,10,2020,1.0,6.0,4.5
2020/3/8,0.0,10,2020,1.0,6.0,4.5
2020/3/9,0.0,11,2020,2.0,5.0,20.5
2020/3/10,12.5,11,2020,2.0,5.0,20.5
2020/3/11,0.0,11,2020,2.0,5.0,20.5
2020/3/12,0.0,11,2020,2.0,5.0,20.5
2020/3/13,0.0,11,2020,2.0,5.0,20.5
2020/3/14,8.0,11,2020,2.0,5.0,20.5
2020/3/15,0.0,11,2020,2.0,5.0,20.5
2020/3/16,0.0,12,2020,0.0,7.0,0.0
2020/3/17,0.0,12,2020,0.0,7.0,0.0
2020/3/18,0.0,12,2020,0.0,7.0,0.0
2020/3/19,0.0,12,2020,0.0,7.0,0.0
2020/3/20,0.0,12,2020,0.0,7.0,0.0
2020/3/21,0.0,12,2020,0.0,7.0,0.0
2020/3/22,0.0,12,2020,0.0,7.0,0.0
2020/3/23,0.0,13,2020,1.0,6.0,16.5
2020/3/24,0.0,13,2020,1.0,6.0,16.5
2020/3/25,0.0,13,2020,1.0,6.0,16.5
2020/3/26,0.0,13,2020,1.0,6.0,16.5
2020/3/27,0.0,13,2020,1.0,6.0,16.5
2020/3/28,16.5,13,2020,1.0,6.0,16.5
2020/3/29,0.0,13,2020,1.0,6.0,16.5
2020/3/30,0.0,14,2020,2.0,5.0,2.5
2020/3/31,0.0,14,2020,2.0,5.0,2.5
2020/4/1,0.0,14,2020,2.0,5.0,2.5
2020/4/2,1.5,14,2020,2.0,5.0,2.5
2020/4/3,0.0,14,2020,2.0,5.0,2.5
2020/4/4,0.0,14,2020,2.0,5.0,2.5
2020/4/5,1.0,14,2020,2.0,5.0,2.5
2020/4/6,12.0,15,2020,4.0,3.0,21.5
2020/4/7,4.0,15,2020,4.0,3.0,21.5
2020/4/8,0.0,15,2020,4.0,3.0,21.5
2020/4/9,0.0,15,2020,4.0,3.0,21.5
2020/4/10,0.0,15,2020,4.0,3.0,21.5
2020/4/11,0.5,15,2020,4.0,3.0,21.5
2020/4/12,5.0,15,2020,4.0,3.0,21.5
2020/4/13,0.0,16,2020,0.0,7.0,0.0
2020/4/14,0.0,16,2020,0.0,7.0,0.0
2020/4/15,0.0,16,2020,0.0,7.0,0.0
2020/4/16,0.0,16,2020,0.0,7.0,0.0
2020/4/17,0.0,16,2020,0.0,7.0,0.0
2020/4/18,0.0,16,2020,0.0,7.0,0.0
2020/4/19,0.0,16,2020,0.0,7.0,0.0
2020/4/20,0.0,17,2020,2.0,5.0,15.5
2020/4/21,0.0,17,2020,2.0,5.0,15.5
2020/4/22,0.0,17,2020,2.0,5.0,15.5
2020/4/23,13.5,17,2020,2.0,5.0,15.5
2020/4/24,2.0,17,2020,2.0,5.0,15.5
2020/4/25,0.0,17,2020,2.0,5.0,15.5
2020/4/26,0.0,17,2020,2.0,5.0,15.5
2020/4/27,0.0,18,2020,0.0,7.0,0.0
2020/4/28,0.0,18,2020,0.0,7.0,0.0
2020/4/29,0.0,18,2020,0.0,7.0,0.0
2020/4/30,0.0,18,2020,0.0,7.0,0.0
2020/5/1,0.0,18,2020,0.0,7.0,0.0
2020/5/2,0.0,18,2020,0.0,7.0,0.0
2020/5/3,0.0,18,2020,0.0,7.0,0.0
2020/5/4,0.0,19,2020,0.0,7.0,0.0
2020/5/5,0.0,19,2020,0.0,7.0,0.0
2020/5/6,0.0,19,2020,0.0,7.0,0.0
2020/5/7,0.0,19,2020,0.0,7.0,0.0
2020/5/8,0.0,19,2020,0.0,7.0,0.0
2020/5/9,0.0,19,2020,0.0,7.0,0.0
2020/5/10,0.0,19,2020,0.0,7.0,0.0
2020/5/11,0.0,20,2020,1.0,6.0,54.0
2020/5/12,0.0,20,2020,1.0,6.0,54.0
2020/5/13,0.0,20,2020,1.0,6.0,54.0
2020/5/14,0.0,20,2020,1.0,6.0,54.0
