,庫房,料號,品名,數量,週,工作日,帳務日期,日期,計價
719,DLN2,B03106859,人工薄膜,1.0,1,False,2022-01-03,,
719,DLN2,B03106859,人工薄膜,0.0,2,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,3,False,2022-01-03,202201.0,T-不計價
723,DLN2,B03106859,人工薄膜,6.0,4,True,2022-01-27,,
719,DLN2,B03106859,人工薄膜,0.0,5,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,6,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,7,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,8,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,9,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,10,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,11,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,12,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,13,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,14,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,15,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,16,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,17,False,2022-01-03,202201.0,T-不計價
729,DLN2,B03106859,人工薄膜,9.0,18,False,2022-05-08,,
719,DLN2,B03106859,人工薄膜,0.0,19,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,20,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,21,False,2022-01-03,202201.0,T-不計價
730,DLN2,B03106859,人工薄膜,3.0,22,False,2022-06-03,,
731,DLN2,B03106859,人工薄膜,1.0,23,True,2022-06-07,,
719,DLN2,B03106859,人工薄膜,0.0,24,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,25,False,2022-01-03,202201.0,T-不計價
732,DLN2,B03106859,人工薄膜,1.0,26,True,2022-06-29,,
719,DLN2,B03106859,人工薄膜,0.0,27,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,28,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,29,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,30,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,31,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,32,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,33,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,34,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,35,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,36,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,37,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,38,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,39,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,40,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,41,False,2022-01-03,202201.0,T-不計價
734,DLN2,B03106859,人工薄膜,2.0,42,False,2022-10-23,,
735,DLN2,B03106859,人工薄膜,1.0,43,True,2022-10-25,,
719,DLN2,B03106859,人工薄膜,0.0,44,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,45,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,46,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,47,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,48,False,2022-01-03,202201.0,T-不計價
719,DLN2,B03106859,人工薄膜,0.0,49,False,2022-01-03,202201.0,T-不計價
736,DLN2,B03106859,人工薄膜,1.0,50,False,2022-12-17,,
740,DLN2,B03106859,人工薄膜,5.0,51,False,2022-12-24,,
719,DLN2,B03106859,人工薄膜,0.0,52,False,2022-01-03,202201.0,T-不計價
