,庫房,料號,品名,數量,帳務日期,週,工作日
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,1,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,2,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,3,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,4,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,5,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,6,True
15506,DLN5,A00300504,旦丁氏空針,1,2022/2/15,7,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,8,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,9,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,10,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,11,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,12,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,13,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,14,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,15,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,16,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,17,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,18,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,19,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,20,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,21,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,22,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,23,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,24,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,25,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,26,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,27,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,28,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,29,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,30,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,31,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,32,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,33,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,34,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,35,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,36,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,37,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,38,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,39,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,40,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,41,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,42,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,43,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,44,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,45,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,46,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,47,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,48,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,49,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,50,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,51,True
15506,DLN5,A00300504,旦丁氏空針,0,2022/2/15,52,True
